,Domain,Type,TLD Manager
0,.aaa,generic,"American Automobile Association, Inc."
1,.aarp,generic,AARP
2,.abarth,generic,Fiat Chrysler Automobiles N.V.
3,.abb,generic,ABB Ltd
4,.abbott,generic,"Abbott Laboratories, Inc."
5,.abbvie,generic,AbbVie Inc.
6,.abc,generic,"Disney Enterprises, Inc."
7,.able,generic,Able Inc.
8,.abogado,generic,"Registry Services, LLC"
9,.abudhabi,generic,Abu Dhabi Systems and Information Centre
10,.ac,country-code,Internet Computer Bureau Limited
11,.academy,generic,"Binky Moon, LLC"
12,.accenture,generic,Accenture plc
13,.accountant,generic,dot Accountant Limited
14,.accountants,generic,"Binky Moon, LLC"
15,.aco,generic,ACO Severin Ahlmann GmbH & Co. KG
16,.active,generic,Not assigned
17,.actor,generic,"Dog Beach, LLC"
18,.ad,country-code,Andorra Telecom
19,.adac,generic,Not assigned
20,.ads,generic,Charleston Road Registry Inc.
21,.adult,generic,ICM Registry AD LLC
22,.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA)
23,.aeg,generic,Aktiebolaget Electrolux
24,.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA)
25,.aetna,generic,Aetna Life Insurance Company
26,.af,country-code,Ministry of Communications and IT
27,.afamilycompany,generic,Not assigned
28,.afl,generic,Australian Football League
29,.africa,generic,ZA Central Registry NPC trading as Registry.Africa
30,.ag,country-code,UHSA School of Medicine
31,.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation)
32,.agency,generic,"Binky Moon, LLC"
33,.ai,country-code,Government of Anguilla
34,.aig,generic,"American International Group, Inc."
35,.aigo,generic,Not assigned
36,.airbus,generic,Airbus S.A.S.
37,.airforce,generic,"Dog Beach, LLC"
38,.airtel,generic,Bharti Airtel Limited
39,.akdn,generic,Fondation Aga Khan (Aga Khan Foundation)
40,.al,country-code,Electronic and Postal Communications Authority - AKEP
41,.alfaromeo,generic,Fiat Chrysler Automobiles N.V.
42,.alibaba,generic,Alibaba Group Holding Limited
43,.alipay,generic,Alibaba Group Holding Limited
44,.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
45,.allstate,generic,Allstate Fire and Casualty Insurance Company
46,.ally,generic,Ally Financial Inc.
47,.alsace,generic,REGION GRAND EST
48,.alstom,generic,ALSTOM
49,.am,country-code,"""Internet Society"" Non-governmental Organization"
50,.amazon,generic,"Amazon Registry Services, Inc."
51,.americanexpress,generic,"American Express Travel Related Services Company, Inc."
52,.americanfamily,generic,"AmFam, Inc."
53,.amex,generic,"American Express Travel Related Services Company, Inc."
54,.amfam,generic,"AmFam, Inc."
55,.amica,generic,Amica Mutual Insurance Company
56,.amsterdam,generic,Gemeente Amsterdam
57,.an,country-code,Not assigned
58,.analytics,generic,Campus IP LLC
59,.android,generic,Charleston Road Registry Inc.
60,.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.
61,.anz,generic,Australia and New Zealand Banking Group Limited
62,.ao,country-code,Ministry of Telecommunications and Information Technologies (MTTI)
63,.aol,generic,OATH Inc.
64,.apartments,generic,"Binky Moon, LLC"
65,.app,generic,Charleston Road Registry Inc.
66,.apple,generic,Apple Inc.
67,.aq,country-code,Antarctica Network Information Centre Limited
68,.aquarelle,generic,Aquarelle.com
69,.ar,country-code,Presidencia de la Nación – Secretaría Legal y Técnica
70,.arab,generic,League of Arab States
71,.aramco,generic,Aramco Services Company
72,.archi,generic,Afilias Limited
73,.army,generic,"Dog Beach, LLC"
74,.arpa,infrastructure,Internet Architecture Board (IAB)
75,.art,generic,UK Creative Ideas Limited
76,.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.
77,.as,country-code,AS Domain Registry
78,.asda,generic,"Wal-Mart Stores, Inc."
79,.asia,sponsored,DotAsia Organisation Ltd.
80,.associates,generic,"Binky Moon, LLC"
81,.at,country-code,nic.at GmbH
82,.athleta,generic,"The Gap, Inc."
83,.attorney,generic,"Dog Beach, LLC"
84,.au,country-code,.au Domain Administration (auDA)
85,.auction,generic,"Dog Beach, LLC"
86,.audi,generic,AUDI Aktiengesellschaft
87,.audible,generic,"Amazon Registry Services, Inc."
88,.audio,generic,XYZ.COM LLC
89,.auspost,generic,Australian Postal Corporation
90,.author,generic,"Amazon Registry Services, Inc."
91,.auto,generic,XYZ.COM LLC
92,.autos,generic,XYZ.COM LLC
93,.avianca,generic,Avianca Holdings S.A.
94,.aw,country-code,SETAR
95,.aws,generic,AWS Registry LLC
96,.ax,country-code,Ålands landskapsregering
97,.axa,generic,AXA Group Operations SAS
98,.az,country-code,IntraNS
99,.azure,generic,Microsoft Corporation
100,.ba,country-code,Universtiy Telinformatic Centre (UTIC)
101,.baby,generic,XYZ.COM LLC
102,.baidu,generic,"Baidu, Inc."
103,.banamex,generic,Citigroup Inc.
104,.bananarepublic,generic,"The Gap, Inc."
105,.band,generic,"Dog Beach, LLC"
106,.bank,generic,"fTLD Registry Services, LLC"
107,.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
108,.barcelona,generic,Municipi de Barcelona
109,.barclaycard,generic,Barclays Bank PLC
110,.barclays,generic,Barclays Bank PLC
111,.barefoot,generic,"Gallo Vineyards, Inc."
112,.bargains,generic,"Binky Moon, LLC"
113,.baseball,generic,"MLB Advanced Media DH, LLC"
114,.basketball,generic,Fédération Internationale de Basketball (FIBA)
115,.bauhaus,generic,Werkhaus GmbH
116,.bayern,generic,Bayern Connect GmbH
117,.bb,country-code,"Ministry of Innovation, Science and Smart Technology"
118,.bbc,generic,British Broadcasting Corporation
119,.bbt,generic,BB&T Corporation
120,.bbva,generic,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
121,.bcg,generic,"The Boston Consulting Group, Inc."
122,.bcn,generic,Municipi de Barcelona
123,.bd,country-code,Posts and Telecommunications Division
124,.be,country-code,DNS Belgium vzw/asbl
125,.beats,generic,"Beats Electronics, LLC"
126,.beauty,generic,XYZ.COM LLC
127,.beer,generic,"Registry Services, LLC"
128,.bentley,generic,Bentley Motors Limited
129,.berlin,generic,dotBERLIN GmbH & Co. KG
130,.best,generic,BestTLD Pty Ltd
131,.bestbuy,generic,"BBY Solutions, Inc."
132,.bet,generic,Afilias Limited
133,.bf,country-code,ARCE-AutoritÈ de RÈgulation des Communications Electroniques
134,.bg,country-code,Register.BG
135,.bh,country-code,Telecommunications Regulatory Authority (TRA)
136,.bharti,generic,Bharti Enterprises (Holding) Private Limited
137,.bi,country-code,Centre National de l'Informatique
138,.bible,generic,American Bible Society
139,.bid,generic,dot Bid Limited
140,.bike,generic,"Binky Moon, LLC"
141,.bing,generic,Microsoft Corporation
142,.bingo,generic,"Binky Moon, LLC"
143,.bio,generic,Afilias Limited
144,.biz,generic-restricted,"Registry Services, LLC"
145,.bj,country-code,Autorité de Régulation des Communications Electroniques et de la Poste du Bénin (ARCEP BENIN)
146,.bl,country-code,Not assigned
147,.black,generic,Afilias Limited
148,.blackfriday,generic,"Registry Services, LLC"
149,.blanco,generic,Not assigned
150,.blockbuster,generic,Dish DBS Corporation
151,.blog,generic,"Knock Knock WHOIS There, LLC"
152,.bloomberg,generic,Bloomberg IP Holdings LLC
153,.blue,generic,Afilias Limited
154,.bm,country-code,"Registry General Department, Ministry of Home Affairs"
155,.bms,generic,Bristol-Myers Squibb Company
156,.bmw,generic,Bayerische Motoren Werke Aktiengesellschaft
157,.bn,country-code,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI)
158,.bnl,generic,Not assigned
159,.bnpparibas,generic,BNP Paribas
160,.bo,country-code,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia
161,.boats,generic,XYZ.COM LLC
162,.boehringer,generic,Boehringer Ingelheim International GmbH
163,.bofa,generic,Bank of America Corporation
164,.bom,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
165,.bond,generic,Shortdot SA
166,.boo,generic,Charleston Road Registry Inc.
167,.book,generic,"Amazon Registry Services, Inc."
168,.booking,generic,Booking.com B.V.
169,.boots,generic,Not assigned
170,.bosch,generic,Robert Bosch GMBH
171,.bostik,generic,Bostik SA
172,.boston,generic,"Registry Services, LLC"
173,.bot,generic,"Amazon Registry Services, Inc."
174,.boutique,generic,"Binky Moon, LLC"
175,.box,generic,Intercap Registry Inc.
176,.bq,country-code,Not assigned
177,.br,country-code,Comite Gestor da Internet no Brasil
178,.bradesco,generic,Banco Bradesco S.A.
179,.bridgestone,generic,Bridgestone Corporation
180,.broadway,generic,"Celebrate Broadway, Inc."
181,.broker,generic,"Dog Beach, LLC"
182,.brother,generic,"Brother Industries, Ltd."
183,.brussels,generic,DNS.be vzw
184,.bs,country-code,University of The Bahamas
185,.bt,country-code,Ministry of Information and Communications
186,.budapest,generic,Not assigned
187,.bugatti,generic,Not assigned
188,.build,generic,Plan Bee LLC
189,.builders,generic,"Binky Moon, LLC"
190,.business,generic,"Binky Moon, LLC"
191,.buy,generic,"Amazon Registry Services, INC"
192,.buzz,generic,DOTSTRATEGY CO.
193,.bv,country-code,Norid A/S
194,.bw,country-code,Botswana Communications Regulatory Authority (BOCRA)
195,.by,country-code,Belarusian Cloud Technologies LLC
196,.bz,country-code,University of Belize
197,.bzh,generic,Association www.bzh
198,.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
199,.cab,generic,"Binky Moon, LLC"
200,.cafe,generic,"Binky Moon, LLC"
201,.cal,generic,Charleston Road Registry Inc.
202,.call,generic,"Amazon Registry Services, Inc."
203,.calvinklein,generic,PVH gTLD Holdings LLC
204,.cam,generic,CAM Connecting SARL
205,.camera,generic,"Binky Moon, LLC"
206,.camp,generic,"Binky Moon, LLC"
207,.cancerresearch,generic,Not assigned
208,.canon,generic,Canon Inc.
209,.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry
210,.capital,generic,"Binky Moon, LLC"
211,.capitalone,generic,Capital One Financial Corporation
212,.car,generic,XYZ.COM LLC
213,.caravan,generic,"Caravan International, Inc."
214,.cards,generic,"Binky Moon, LLC"
215,.care,generic,"Binky Moon, LLC"
216,.career,generic,dotCareer LLC
217,.careers,generic,"Binky Moon, LLC"
218,.cars,generic,XYZ.COM LLC
219,.cartier,generic,Not assigned
220,.casa,generic,"Registry Services, LLC"
221,.case,generic,CNH Industrial N.V.
222,.caseih,generic,Not assigned
223,.cash,generic,"Binky Moon, LLC"
224,.casino,generic,"Binky Moon, LLC"
225,.cat,sponsored,Fundacio puntCAT
226,.catering,generic,"Binky Moon, LLC"
227,.catholic,generic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
228,.cba,generic,COMMONWEALTH BANK OF AUSTRALIA
229,.cbn,generic,"The Christian Broadcasting Network, Inc."
230,.cbre,generic,"CBRE, Inc."
231,.cbs,generic,CBS Domains Inc.
232,.cc,country-code,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
233,.cd,country-code,Office Congolais des Postes et Télécommunications - OCPT
234,.ceb,generic,Not assigned
235,.center,generic,"Binky Moon, LLC"
236,.ceo,generic,CEOTLD Pty Ltd
237,.cern,generic,"European Organization for Nuclear Research (""CERN"")"
238,.cf,country-code,Societe Centrafricaine de Telecommunications (SOCATEL)
239,.cfa,generic,CFA Institute
240,.cfd,generic,DOTCFD REGISTRY LTD
241,.cg,country-code,Interpoint Switzerland
242,.ch,country-code,SWITCH The Swiss Education & Research Network
243,.chanel,generic,Chanel International B.V.
244,.channel,generic,Charleston Road Registry Inc.
245,.charity,generic,Public Interest Registry (PIR)
246,.chase,generic,"JPMorgan Chase Bank, National Association"
247,.chat,generic,"Binky Moon, LLC"
248,.cheap,generic,"Binky Moon, LLC"
249,.chintai,generic,CHINTAI Corporation
250,.chloe,generic,Not assigned
251,.christmas,generic,XYZ.COM LLC
252,.chrome,generic,Charleston Road Registry Inc.
253,.chrysler,generic,Not assigned
254,.church,generic,"Binky Moon, LLC"
255,.ci,country-code,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)
256,.cipriani,generic,Hotel Cipriani Srl
257,.circle,generic,"Amazon Registry Services, Inc."
258,.cisco,generic,"Cisco Technology, Inc."
259,.citadel,generic,Citadel Domain LLC
260,.citi,generic,Citigroup Inc.
261,.citic,generic,CITIC Group Corporation
262,.city,generic,"Binky Moon, LLC"
263,.cityeats,generic,"Lifestyle Domain Holdings, Inc."
264,.ck,country-code,Telecom Cook Islands Ltd.
265,.cl,country-code,NIC Chile (University of Chile)
266,.claims,generic,"Binky Moon, LLC"
267,.cleaning,generic,"Binky Moon, LLC"
268,.click,generic,Internet Naming Co.
269,.clinic,generic,"Binky Moon, LLC"
270,.clinique,generic,The Estée Lauder Companies Inc.
271,.clothing,generic,"Binky Moon, LLC"
272,.cloud,generic,ARUBA PEC S.p.A.
273,.club,generic,"Registry Services, LLC"
274,.clubmed,generic,Club Méditerranée S.A.
275,.cm,country-code,Cameroon Telecommunications (CAMTEL)
276,.cn,country-code,China Internet Network Information Center (CNNIC)
277,.co,country-code,Ministry of Information and Communications Technologies (MinTIC)
278,.coach,generic,"Binky Moon, LLC"
279,.codes,generic,"Binky Moon, LLC"
280,.coffee,generic,"Binky Moon, LLC"
281,.college,generic,XYZ.COM LLC
282,.cologne,generic,dotKoeln GmbH
283,.com,generic,VeriSign Global Registry Services
284,.comcast,generic,"Comcast IP Holdings I, LLC"
285,.commbank,generic,COMMONWEALTH BANK OF AUSTRALIA
286,.community,generic,"Binky Moon, LLC"
287,.company,generic,"Binky Moon, LLC"
288,.compare,generic,"Registry Services, LLC"
289,.computer,generic,"Binky Moon, LLC"
290,.comsec,generic,"VeriSign, Inc."
291,.condos,generic,"Binky Moon, LLC"
292,.construction,generic,"Binky Moon, LLC"
293,.consulting,generic,"Dog Beach, LLC"
294,.contact,generic,"Dog Beach, LLC"
295,.contractors,generic,"Binky Moon, LLC"
296,.cooking,generic,"Registry Services, LLC"
297,.cookingchannel,generic,"Lifestyle Domain Holdings, Inc."
298,.cool,generic,"Binky Moon, LLC"
299,.coop,sponsored,DotCooperation LLC
300,.corsica,generic,Collectivité de Corse
301,.country,generic,Internet Naming Co.
302,.coupon,generic,"Amazon Registry Services, Inc."
303,.coupons,generic,"Binky Moon, LLC"
304,.courses,generic,"Registry Services, LLC"
305,.cpa,generic,American Institute of Certified Public Accountants
306,.cr,country-code,National Academy of Sciences Academia Nacional de Ciencias
307,.credit,generic,"Binky Moon, LLC"
308,.creditcard,generic,"Binky Moon, LLC"
309,.creditunion,generic,"DotCooperation, LLC"
310,.cricket,generic,dot Cricket Limited
311,.crown,generic,Crown Equipment Corporation
312,.crs,generic,Federated Co-operatives Limited
313,.cruise,generic,Viking River Cruises (Bermuda) Ltd.
314,.cruises,generic,"Binky Moon, LLC"
315,.csc,generic,Not assigned
316,.cu,country-code,CENIAInternet Industria y San Jose Capitolio Nacional
317,.cuisinella,generic,SCHMIDT GROUPE S.A.S.
318,.cv,country-code,Agência Reguladora Multissectorial da Economia (ARME)
319,.cw,country-code,University of Curacao
320,.cx,country-code,Christmas Island Domain Administration Limited
321,.cy,country-code,University of Cyprus
322,.cymru,generic,Nominet UK
323,.cyou,generic,Shortdot SA
324,.cz,country-code,"CZ.NIC, z.s.p.o"
325,.dabur,generic,Dabur India Limited
326,.dad,generic,Charleston Road Registry Inc.
327,.dance,generic,"Dog Beach, LLC"
328,.data,generic,Dish DBS Corporation
329,.date,generic,dot Date Limited
330,.dating,generic,"Binky Moon, LLC"
331,.datsun,generic,"NISSAN MOTOR CO., LTD."
332,.day,generic,Charleston Road Registry Inc.
333,.dclk,generic,Charleston Road Registry Inc.
334,.dds,generic,"Registry Services, LLC"
335,.de,country-code,DENIC eG
336,.deal,generic,"Amazon Registry Services, Inc."
337,.dealer,generic,Intercap Registry Inc.
338,.deals,generic,"Binky Moon, LLC"
339,.degree,generic,"Dog Beach, LLC"
340,.delivery,generic,"Binky Moon, LLC"
341,.dell,generic,Dell Inc.
342,.deloitte,generic,Deloitte Touche Tohmatsu
343,.delta,generic,"Delta Air Lines, Inc."
344,.democrat,generic,"Dog Beach, LLC"
345,.dental,generic,"Binky Moon, LLC"
346,.dentist,generic,"Dog Beach, LLC"
347,.desi,generic,Desi Networks LLC
348,.design,generic,"Registry Services, LLC"
349,.dev,generic,Charleston Road Registry Inc.
350,.dhl,generic,Deutsche Post AG
351,.diamonds,generic,"Binky Moon, LLC"
352,.diet,generic,XYZ.COM LLC
353,.digital,generic,"Binky Moon, LLC"
354,.direct,generic,"Binky Moon, LLC"
355,.directory,generic,"Binky Moon, LLC"
356,.discount,generic,"Binky Moon, LLC"
357,.discover,generic,Discover Financial Services
358,.dish,generic,Dish DBS Corporation
359,.diy,generic,"Lifestyle Domain Holdings, Inc."
360,.dj,country-code,Djibouti Telecom S.A
361,.dk,country-code,Dansk Internet Forum
362,.dm,country-code,DotDM Corporation
363,.dnp,generic,"Dai Nippon Printing Co., Ltd."
364,.do,country-code,Pontificia Universidad Catolica Madre y Maestra Recinto Santo Tomas de Aquino
365,.docs,generic,Charleston Road Registry Inc.
366,.doctor,generic,"Binky Moon, LLC"
367,.dodge,generic,Not assigned
368,.dog,generic,"Binky Moon, LLC"
369,.doha,generic,Not assigned
370,.domains,generic,"Binky Moon, LLC"
371,.doosan,generic,Not assigned
372,.dot,generic,Dish DBS Corporation
373,.download,generic,dot Support Limited
374,.drive,generic,Charleston Road Registry Inc.
375,.dtv,generic,Dish DBS Corporation
376,.dubai,generic,Dubai Smart Government Department
377,.duck,generic,Not assigned
378,.dunlop,generic,The Goodyear Tire & Rubber Company
379,.duns,generic,Not assigned
380,.dupont,generic,"DuPont Specialty Products USA, LLC"
381,.durban,generic,ZA Central Registry NPC trading as ZA Central Registry
382,.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
383,.dvr,generic,Hughes Satellite Systems Corporation
384,.dz,country-code,CERIST
385,.earth,generic,Interlink Systems Innovation Institute K.K.
386,.eat,generic,Charleston Road Registry Inc.
387,.ec,country-code,ECUADORDOMAIN S.A.
388,.eco,generic,Big Room Inc.
389,.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.
390,.edu,sponsored,EDUCAUSE
391,.education,generic,"Binky Moon, LLC"
392,.ee,country-code,Eesti Interneti Sihtasutus (EIS)
393,.eg,country-code,Egyptian Universities Network (EUN) Supreme Council of Universities
394,.eh,country-code,Not assigned
395,.email,generic,"Binky Moon, LLC"
396,.emerck,generic,Merck KGaA
397,.energy,generic,"Binky Moon, LLC"
398,.engineer,generic,"Dog Beach, LLC"
399,.engineering,generic,"Binky Moon, LLC"
400,.enterprises,generic,"Binky Moon, LLC"
401,.epost,generic,Not assigned
402,.epson,generic,Seiko Epson Corporation
403,.equipment,generic,"Binky Moon, LLC"
404,.er,country-code,Eritrea Telecommunication Services Corporation (EriTel)
405,.ericsson,generic,Telefonaktiebolaget L M Ericsson
406,.erni,generic,ERNI Group Holding AG
407,.es,country-code,Red.es
408,.esq,generic,Charleston Road Registry Inc.
409,.estate,generic,"Binky Moon, LLC"
410,.esurance,generic,Not assigned
411,.et,country-code,Ethio telecom
412,.etisalat,generic,Emirates Telecommunications Corporation (trading as Etisalat)
413,.eu,country-code,EURid vzw/asbl
414,.eurovision,generic,European Broadcasting Union (EBU)
415,.eus,generic,Puntueus Fundazioa
416,.events,generic,"Binky Moon, LLC"
417,.everbank,generic,Not assigned
418,.exchange,generic,"Binky Moon, LLC"
419,.expert,generic,"Binky Moon, LLC"
420,.exposed,generic,"Binky Moon, LLC"
421,.express,generic,"Binky Moon, LLC"
422,.extraspace,generic,Extra Space Storage LLC
423,.fage,generic,Fage International S.A.
424,.fail,generic,"Binky Moon, LLC"
425,.fairwinds,generic,"FairWinds Partners, LLC"
426,.faith,generic,dot Faith Limited
427,.family,generic,"Dog Beach, LLC"
428,.fan,generic,"Dog Beach, LLC"
429,.fans,generic,ZDNS International Limited
430,.farm,generic,"Binky Moon, LLC"
431,.farmers,generic,Farmers Insurance Exchange
432,.fashion,generic,"Registry Services, LLC"
433,.fast,generic,"Amazon Registry Services, Inc."
434,.fedex,generic,Federal Express Corporation
435,.feedback,generic,"Top Level Spectrum, Inc."
436,.ferrari,generic,Fiat Chrysler Automobiles N.V.
437,.ferrero,generic,Ferrero Trading Lux S.A.
438,.fi,country-code,Finnish Transport and Communications Agency Traficom
439,.fiat,generic,Fiat Chrysler Automobiles N.V.
440,.fidelity,generic,Fidelity Brokerage Services LLC
441,.fido,generic,Rogers Communications Canada Inc.
442,.film,generic,Motion Picture Domain Registry Pty Ltd
443,.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br
444,.finance,generic,"Binky Moon, LLC"
445,.financial,generic,"Binky Moon, LLC"
446,.fire,generic,"Amazon Registry Services, Inc."
447,.firestone,generic,"Bridgestone Licensing Services, Inc."
448,.firmdale,generic,Firmdale Holdings Limited
449,.fish,generic,"Binky Moon, LLC"
450,.fishing,generic,"Registry Services, LLC"
451,.fit,generic,"Registry Services, LLC"
452,.fitness,generic,"Binky Moon, LLC"
453,.fj,country-code,The University of the South Pacific IT Services
454,.fk,country-code,Falkland Islands Government
455,.flickr,generic,"Flickr, Inc."
456,.flights,generic,"Binky Moon, LLC"
457,.flir,generic,"FLIR Systems, Inc."
458,.florist,generic,"Binky Moon, LLC"
459,.flowers,generic,XYZ.COM LLC
460,.flsmidth,generic,Not assigned
461,.fly,generic,Charleston Road Registry Inc.
462,.fm,country-code,FSM Telecommunications Corporation
463,.fo,country-code,FO Council
464,.foo,generic,Charleston Road Registry Inc.
465,.food,generic,"Lifestyle Domain Holdings, Inc."
466,.foodnetwork,generic,"Lifestyle Domain Holdings, Inc."
467,.football,generic,"Binky Moon, LLC"
468,.ford,generic,Ford Motor Company
469,.forex,generic,"Dog Beach, LLC"
470,.forsale,generic,"Dog Beach, LLC"
471,.forum,generic,"Fegistry, LLC"
472,.foundation,generic,Public Interest Registry (PIR)
473,.fox,generic,"FOX Registry, LLC"
474,.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
475,.free,generic,"Amazon Registry Services, Inc."
476,.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH
477,.frl,generic,FRLregistry B.V.
478,.frogans,generic,OP3FT
479,.frontdoor,generic,"Lifestyle Domain Holdings, Inc."
480,.frontier,generic,Frontier Communications Corporation
481,.ftr,generic,Frontier Communications Corporation
482,.fujitsu,generic,Fujitsu Limited
483,.fujixerox,generic,Not assigned
484,.fun,generic,Radix FZC
485,.fund,generic,"Binky Moon, LLC"
486,.furniture,generic,"Binky Moon, LLC"
487,.futbol,generic,"Dog Beach, LLC"
488,.fyi,generic,"Binky Moon, LLC"
489,.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF)
490,.gal,generic,Asociación puntoGAL
491,.gallery,generic,"Binky Moon, LLC"
492,.gallo,generic,"Gallo Vineyards, Inc."
493,.gallup,generic,"Gallup, Inc."
494,.game,generic,XYZ.COM LLC
495,.games,generic,"Dog Beach, LLC"
496,.gap,generic,"The Gap, Inc."
497,.garden,generic,"Registry Services, LLC"
498,.gay,generic,"Top Level Design, LLC"
499,.gb,country-code,Reserved Domain - IANA
500,.gbiz,generic,Charleston Road Registry Inc.
501,.gd,country-code,The National Telecommunications Regulatory Commission (NTRC)
502,.gdn,generic,"Joint Stock Company ""Navigation-information systems"""
503,.ge,country-code,Caucasus Online LLC
504,.gea,generic,GEA Group Aktiengesellschaft
505,.gent,generic,Combell nv
506,.genting,generic,Resorts World Inc. Pte. Ltd.
507,.george,generic,"Wal-Mart Stores, Inc."
508,.gf,country-code,CANAL+ TELECOM
509,.gg,country-code,Island Networks Ltd.
510,.ggee,generic,"GMO Internet, Inc."
511,.gh,country-code,Network Computer Systems Limited
512,.gi,country-code,Sapphire Networks
513,.gift,generic,"Uniregistry, Corp."
514,.gifts,generic,"Binky Moon, LLC"
515,.gives,generic,Public Interest Registry (PIR)
516,.giving,generic,Public Interest Registry (PIR)
517,.gl,country-code,TELE Greenland A/S
518,.glade,generic,Not assigned
519,.glass,generic,"Binky Moon, LLC"
520,.gle,generic,Charleston Road Registry Inc.
521,.global,generic,Dot Global Domain Registry Limited
522,.globo,generic,Globo Comunicação e Participações S.A
523,.gm,country-code,GM-NIC
524,.gmail,generic,Charleston Road Registry Inc.
525,.gmbh,generic,"Binky Moon, LLC"
526,.gmo,generic,"GMO Internet, Inc."
527,.gmx,generic,1&1 Mail & Media GmbH
528,.gn,country-code,Centre National des Sciences Halieutiques de Boussoura
529,.godaddy,generic,"Go Daddy East, LLC"
530,.gold,generic,"Binky Moon, LLC"
531,.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD."
532,.golf,generic,"Binky Moon, LLC"
533,.goo,generic,NTT Resonant Inc.
534,.goodhands,generic,Not assigned
535,.goodyear,generic,The Goodyear Tire & Rubber Company
536,.goog,generic,Charleston Road Registry Inc.
537,.google,generic,Charleston Road Registry Inc.
538,.gop,generic,"Republican State Leadership Committee, Inc."
539,.got,generic,"Amazon Registry Services, Inc."
540,.gov,sponsored,Cybersecurity and Infrastructure Security Agency
541,.gp,country-code,Networking Technologies Group
542,.gq,country-code,GETESA
543,.gr,country-code,ICS-FORTH GR
544,.grainger,generic,"Grainger Registry Services, LLC"
545,.graphics,generic,"Binky Moon, LLC"
546,.gratis,generic,"Binky Moon, LLC"
547,.green,generic,Afilias Limited
548,.gripe,generic,"Binky Moon, LLC"
