,Domain,Type,TLD Manager
549,.grocery,generic,"Wal-Mart Stores, Inc."
550,.group,generic,"Binky Moon, LLC"
551,.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI)
552,.gt,country-code,Universidad del Valle de Guatemala
553,.gu,country-code,University of Guam
554,.guardian,generic,The Guardian Life Insurance Company of America
555,.gucci,generic,Guccio Gucci S.p.a.
556,.guge,generic,Charleston Road Registry Inc.
557,.guide,generic,"Binky Moon, LLC"
558,.guitars,generic,XYZ.COM LLC
559,.guru,generic,"Binky Moon, LLC"
560,.gw,country-code,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau
561,.gy,country-code,University of Guyana
562,.hair,generic,XYZ.COM LLC
563,.hamburg,generic,Hamburg Top-Level-Domain GmbH
564,.hangout,generic,Charleston Road Registry Inc.
565,.haus,generic,"Dog Beach, LLC"
566,.hbo,generic,"HBO Registry Services, Inc."
567,.hdfc,generic,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED
568,.hdfcbank,generic,HDFC Bank Limited
569,.health,generic,"DotHealth, LLC"
570,.healthcare,generic,"Binky Moon, LLC"
571,.help,generic,UNR Corp.
572,.helsinki,generic,City of Helsinki
573,.here,generic,Charleston Road Registry Inc.
574,.hermes,generic,Hermes International
575,.hgtv,generic,"Lifestyle Domain Holdings, Inc."
576,.hiphop,generic,"Dot Hip Hop, LLC"
577,.hisamitsu,generic,"Hisamitsu Pharmaceutical Co.,Inc."
578,.hitachi,generic,"Hitachi, Ltd."
579,.hiv,generic,Internet Naming Co.
580,.hk,country-code,Hong Kong Internet Registration Corporation Ltd.
581,.hkt,generic,PCCW-HKT DataCom Services Limited
582,.hm,country-code,HM Domain Registry
583,.hn,country-code,Red de Desarrollo Sostenible Honduras
584,.hockey,generic,"Binky Moon, LLC"
585,.holdings,generic,"Binky Moon, LLC"
586,.holiday,generic,"Binky Moon, LLC"
587,.homedepot,generic,"Home Depot Product Authority, LLC"
588,.homegoods,generic,"The TJX Companies, Inc."
589,.homes,generic,XYZ.COM LLC
590,.homesense,generic,"The TJX Companies, Inc."
591,.honda,generic,"Honda Motor Co., Ltd."
592,.honeywell,generic,Not assigned
593,.horse,generic,"Registry Services, LLC"
594,.hospital,generic,"Binky Moon, LLC"
595,.host,generic,Radix FZC
596,.hosting,generic,XYZ.COM LLC
597,.hot,generic,"Amazon Registry Services, Inc."
598,.hoteles,generic,Travel Reservations SRL
599,.hotels,generic,Booking.com B.V.
600,.hotmail,generic,Microsoft Corporation
601,.house,generic,"Binky Moon, LLC"
602,.how,generic,Charleston Road Registry Inc.
603,.hr,country-code,CARNet - Croatian Academic and Research Network
604,.hsbc,generic,HSBC Global Services (UK) Limited
605,.ht,country-code,Consortium FDS/RDDH
606,.htc,generic,Not assigned
607,.hu,country-code,Council of Hungarian Internet Providers (CHIP)
608,.hughes,generic,Hughes Satellite Systems Corporation
609,.hyatt,generic,"Hyatt GTLD, L.L.C."
610,.hyundai,generic,Hyundai Motor Company
611,.ibm,generic,International Business Machines Corporation
612,.icbc,generic,Industrial and Commercial Bank of China Limited
613,.ice,generic,"IntercontinentalExchange, Inc."
614,.icu,generic,Shortdot SA
615,.id,country-code,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI)
616,.ie,country-code,University College Dublin Computing Services Computer Centre
617,.ieee,generic,IEEE Global LLC
618,.ifm,generic,ifm electronic gmbh
619,.iinet,generic,Not assigned
620,.ikano,generic,Ikano S.A.
621,.il,country-code,The Israel Internet Association (RA)
622,.im,country-code,Isle of Man Government
623,.imamat,generic,Fondation Aga Khan (Aga Khan Foundation)
624,.imdb,generic,"Amazon Registry Services, Inc."
625,.immo,generic,"Binky Moon, LLC"
626,.immobilien,generic,"Dog Beach, LLC"
627,.in,country-code,National Internet Exchange of India
628,.inc,generic,Intercap Registry Inc.
629,.industries,generic,"Binky Moon, LLC"
630,.infiniti,generic,"NISSAN MOTOR CO., LTD."
631,.info,generic,Afilias Limited
632,.ing,generic,Charleston Road Registry Inc.
633,.ink,generic,"Top Level Design, LLC"
634,.institute,generic,"Binky Moon, LLC"
635,.insurance,generic,fTLD Registry Services LLC
636,.insure,generic,"Binky Moon, LLC"
637,.int,sponsored,Internet Assigned Numbers Authority
638,.intel,generic,Not assigned
639,.international,generic,"Binky Moon, LLC"
640,.intuit,generic,"Intuit Administrative Services, Inc."
641,.investments,generic,"Binky Moon, LLC"
642,.io,country-code,Internet Computer Bureau Limited
643,.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.
644,.iq,country-code,Communications and Media Commission (CMC)
645,.ir,country-code,Institute for Research in Fundamental Sciences
646,.irish,generic,"Binky Moon, LLC"
647,.is,country-code,ISNIC - Internet Iceland ltd.
648,.iselect,generic,Not assigned
649,.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation)
650,.ist,generic,Istanbul Metropolitan Municipality
651,.istanbul,generic,Istanbul Metropolitan Municipality
652,.it,country-code,IIT - CNR
653,.itau,generic,Itau Unibanco Holding S.A.
654,.itv,generic,ITV Services Limited
655,.iveco,generic,Not assigned
656,.iwc,generic,Not assigned
657,.jaguar,generic,Jaguar Land Rover Ltd
658,.java,generic,Oracle Corporation
659,.jcb,generic,"JCB Co., Ltd."
660,.jcp,generic,Not assigned
661,.je,country-code,Island Networks (Jersey) Ltd.
662,.jeep,generic,FCA US LLC.
663,.jetzt,generic,"Binky Moon, LLC"
664,.jewelry,generic,"Binky Moon, LLC"
665,.jio,generic,"Affinity Names, Inc."
666,.jlc,generic,Not assigned
667,.jll,generic,Jones Lang LaSalle Incorporated
668,.jm,country-code,University of West Indies
669,.jmp,generic,Matrix IP LLC
670,.jnj,generic,"Johnson & Johnson Services, Inc."
671,.jo,country-code,Ministry of Digital Economy and Entrepreneurship (MoDEE)
672,.jobs,sponsored,Employ Media LLC
673,.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry
674,.jot,generic,"Amazon Registry Services, Inc."
675,.joy,generic,"Amazon Registry Services, Inc."
676,.jp,country-code,"Japan Registry Services Co., Ltd."
677,.jpmorgan,generic,"JPMorgan Chase Bank, National Association"
678,.jprs,generic,"Japan Registry Services Co., Ltd."
679,.juegos,generic,Internet Naming Company LLC
680,.juniper,generic,"JUNIPER NETWORKS, INC."
681,.kaufen,generic,"Dog Beach, LLC"
682,.kddi,generic,KDDI CORPORATION
683,.ke,country-code,Kenya Network Information Center (KeNIC)
684,.kerryhotels,generic,Kerry Trading Co. Limited
685,.kerrylogistics,generic,Kerry Trading Co. Limited
686,.kerryproperties,generic,Kerry Trading Co. Limited
687,.kfh,generic,Kuwait Finance House
688,.kg,country-code,AsiaInfo Telecommunication Enterprise
689,.kh,country-code,Telecommunication Regulator of Cambodia (TRC)
690,.ki,country-code,"Ministry of Communications, Transport, and Tourism Development"
691,.kia,generic,KIA MOTORS CORPORATION
692,.kids,generic,DotKids Foundation Limited
693,.kim,generic,Afilias Limited
694,.kinder,generic,Ferrero Trading Lux S.A.
695,.kindle,generic,"Amazon Registry Services, Inc."
696,.kitchen,generic,"Binky Moon, LLC"
697,.kiwi,generic,DOT KIWI LIMITED
698,.km,country-code,Comores Telecom
699,.kn,country-code,"Ministry of Finance, Sustainable Development Information & Technology"
700,.koeln,generic,dotKoeln GmbH
701,.komatsu,generic,Komatsu Ltd.
702,.kosher,generic,Kosher Marketing Assets LLC
703,.kp,country-code,Star Joint Venture Company
704,.kpmg,generic,KPMG International Cooperative (KPMG International Genossenschaft)
705,.kpn,generic,Koninklijke KPN N.V.
706,.kr,country-code,Korea Internet & Security Agency (KISA)
707,.krd,generic,KRG Department of Information Technology
708,.kred,generic,KredTLD Pty Ltd
709,.kuokgroup,generic,Kerry Trading Co. Limited
710,.kw,country-code,Communications and Information Technology Regulatory Authority
711,.ky,country-code,Utility Regulation and Competition Office (OfReg)
712,.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen
713,.kz,country-code,Association of IT Companies of Kazakhstan
714,.la,country-code,"Lao National Internet Center (LANIC), Ministry of Technology and Communications"
715,.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA
716,.ladbrokes,generic,Not assigned
717,.lamborghini,generic,Automobili Lamborghini S.p.A.
718,.lamer,generic,The Estée Lauder Companies Inc.
719,.lancaster,generic,LANCASTER
720,.lancia,generic,Fiat Chrysler Automobiles N.V.
721,.lancome,generic,Not assigned
722,.land,generic,"Binky Moon, LLC"
723,.landrover,generic,Jaguar Land Rover Ltd
724,.lanxess,generic,LANXESS Corporation
725,.lasalle,generic,Jones Lang LaSalle Incorporated
726,.lat,generic,XYZ.COM LLC
727,.latino,generic,Dish DBS Corporation
728,.latrobe,generic,La Trobe University
729,.law,generic,"Registry Services, LLC"
730,.lawyer,generic,"Dog Beach, LLC"
731,.lb,country-code,American University of Beirut Computing and Networking Services
732,.lc,country-code,University of Puerto Rico
733,.lds,generic,"IRI Domain Management, LLC"
734,.lease,generic,"Binky Moon, LLC"
735,.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc
736,.lefrak,generic,"LeFrak Organization, Inc."
737,.legal,generic,"Binky Moon, LLC"
738,.lego,generic,LEGO Juris A/S
739,.lexus,generic,TOYOTA MOTOR CORPORATION
740,.lgbt,generic,Afilias Limited
741,.li,country-code,SWITCH The Swiss Education & Research Network
742,.liaison,generic,Not assigned
743,.lidl,generic,Schwarz Domains und Services GmbH & Co. KG
744,.life,generic,"Binky Moon, LLC"
745,.lifeinsurance,generic,American Council of Life Insurers
746,.lifestyle,generic,"Lifestyle Domain Holdings, Inc."
747,.lighting,generic,"Binky Moon, LLC"
748,.like,generic,"Amazon Registry Services, Inc."
749,.lilly,generic,Eli Lilly and Company
750,.limited,generic,"Binky Moon, LLC"
751,.limo,generic,"Binky Moon, LLC"
752,.lincoln,generic,Ford Motor Company
753,.linde,generic,Not assigned
754,.link,generic,Nova Registry Ltd.
755,.lipsy,generic,Lipsy Ltd
756,.live,generic,"Dog Beach, LLC"
757,.living,generic,"Lifestyle Domain Holdings, Inc."
758,.lixil,generic,Not assigned
759,.lk,country-code,Council for Information Technology LK Domain Registrar
760,.llc,generic,Afilias Limited
761,.llp,generic,Intercap Registry Inc.
762,.loan,generic,dot Loan Limited
763,.loans,generic,"Binky Moon, LLC"
764,.locker,generic,Dish DBS Corporation
765,.locus,generic,Locus Analytics LLC
766,.loft,generic,Not assigned
767,.lol,generic,XYZ.COM LLC
768,.london,generic,Dot London Domains Limited
769,.lotte,generic,"Lotte Holdings Co., Ltd."
770,.lotto,generic,Afilias Limited
771,.love,generic,Merchant Law Group LLP
772,.lpl,generic,"LPL Holdings, Inc."
773,.lplfinancial,generic,"LPL Holdings, Inc."
774,.lr,country-code,"Data Technology Solutions, Inc."
775,.ls,country-code,Lesotho Network Information Centre Proprietary (LSNIC)
776,.lt,country-code,Kaunas University of Technology
777,.ltd,generic,"Binky Moon, LLC"
778,.ltda,generic,InterNetX Corp.
779,.lu,country-code,RESTENA
780,.lundbeck,generic,H. Lundbeck A/S
781,.lupin,generic,Not assigned
782,.luxe,generic,"Registry Services, LLC"
783,.luxury,generic,Luxury Partners LLC
784,.lv,country-code,University of Latvia Institute of Mathematics and Computer Science Department of Network Solutions (DNS)
785,.ly,country-code,General Post and Telecommunication Company
786,.ma,country-code,Agence Nationale de Réglementation des Télécommunications (ANRT)
787,.macys,generic,Not assigned
788,.madrid,generic,Comunidad de Madrid
789,.maif,generic,Mutuelle Assurance Instituteur France (MAIF)
790,.maison,generic,"Binky Moon, LLC"
791,.makeup,generic,XYZ.COM LLC
792,.man,generic,MAN SE
793,.management,generic,"Binky Moon, LLC"
794,.mango,generic,PUNTO FA S.L.
795,.map,generic,Charleston Road Registry Inc.
796,.market,generic,"Dog Beach, LLC"
797,.marketing,generic,"Binky Moon, LLC"
798,.markets,generic,"Dog Beach, LLC"
799,.marriott,generic,Marriott Worldwide Corporation
800,.marshalls,generic,"The TJX Companies, Inc."
801,.maserati,generic,Fiat Chrysler Automobiles N.V.
802,.mattel,generic,"Mattel Sites, Inc."
803,.mba,generic,"Binky Moon, LLC"
804,.mc,country-code,Direction des Plateformes et des Ressources Numériques
805,.mcd,generic,Not assigned
806,.mcdonalds,generic,Not assigned
807,.mckinsey,generic,"McKinsey Holdings, Inc."
808,.md,country-code,IP Serviciul Tehnologia Informatiei si Securitate Cibernetica
809,.me,country-code,Government of Montenegro
810,.med,generic,Medistry LLC
811,.media,generic,"Binky Moon, LLC"
812,.meet,generic,Charleston Road Registry Inc.
813,.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation"
814,.meme,generic,Charleston Road Registry Inc.
815,.memorial,generic,"Dog Beach, LLC"
816,.men,generic,Exclusive Registry Limited
817,.menu,generic,Dot Menu Registry LLC
818,.meo,generic,Not assigned
819,.merckmsd,generic,"MSD Registry Holdings, Inc."
820,.metlife,generic,Not assigned
821,.mf,country-code,Not assigned
822,.mg,country-code,NIC-MG (Network Information Center Madagascar)
823,.mh,country-code,Office of the Cabinet
824,.miami,generic,"Registry Services, LLC"
825,.microsoft,generic,Microsoft Corporation
826,.mil,sponsored,DoD Network Information Center
827,.mini,generic,Bayerische Motoren Werke Aktiengesellschaft
828,.mint,generic,"Intuit Administrative Services, Inc."
829,.mit,generic,Massachusetts Institute of Technology
830,.mitsubishi,generic,Mitsubishi Corporation
831,.mk,country-code,Macedonian Academic Research Network Skopje
832,.ml,country-code,Agence des Technologies de l’Information et de la Communication
833,.mlb,generic,"MLB Advanced Media DH, LLC"
834,.mls,generic,The Canadian Real Estate Association
835,.mm,country-code,Ministry of Transport and Communications
836,.mma,generic,MMA IARD
837,.mn,country-code,"Datacom Co., Ltd."
838,.mo,country-code,Macao Post and Telecommunications Bureau (CTT)
839,.mobi,generic,Afilias Limited
840,.mobile,generic,Dish DBS Corporation
841,.mobily,generic,Not assigned
842,.moda,generic,"Dog Beach, LLC"
843,.moe,generic,Interlink Systems Innovation Institute K.K.
844,.moi,generic,"Amazon Registry Services, Inc."
845,.mom,generic,XYZ.COM LLC
846,.monash,generic,Monash University
847,.money,generic,"Binky Moon, LLC"
848,.monster,generic,XYZ.COM LLC
849,.montblanc,generic,Not assigned
850,.mopar,generic,Not assigned
851,.mormon,generic,"IRI Domain Management, LLC (""Applicant"")"
852,.mortgage,generic,"Dog Beach, LLC"
853,.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
854,.moto,generic,"Motorola Trademark Holdings, LLC"
855,.motorcycles,generic,XYZ.COM LLC
856,.mov,generic,Charleston Road Registry Inc.
857,.movie,generic,"Binky Moon, LLC"
858,.movistar,generic,Not assigned
859,.mp,country-code,"Saipan Datacom, Inc."
860,.mq,country-code,CANAL+ TELECOM
861,.mr,country-code,Université de Nouakchott Al Aasriya
862,.ms,country-code,MNI Networks Ltd.
863,.msd,generic,"MSD Registry Holdings, Inc."
864,.mt,country-code,NIC (Malta)
865,.mtn,generic,MTN Dubai Limited
866,.mtpc,generic,Not assigned
867,.mtr,generic,MTR Corporation Limited
868,.mu,country-code,Internet Direct Ltd
869,.museum,sponsored,Museum Domain Management Association
870,.music,generic,DotMusic Limited
871,.mutual,generic,"Northwestern Mutual MU TLD Registry, LLC"
872,.mutuelle,generic,Not assigned
873,.mv,country-code,Dhiraagu Pvt. Ltd. (DHIVEHINET)
874,.mw,country-code,Malawi Sustainable Development Network Programme (Malawi SDNP)
875,.mx,country-code,NIC-Mexico ITESM - Campus Monterrey
876,.my,country-code,MYNIC Berhad
877,.mz,country-code,Centro de Informatica de Universidade Eduardo Mondlane
878,.na,country-code,Namibian Network Information Center
879,.nab,generic,National Australia Bank Limited
880,.nadex,generic,Not assigned
881,.nagoya,generic,"GMO Registry, Inc."
882,.name,generic-restricted,"VeriSign Information Services, Inc."
883,.nationwide,generic,Not assigned
884,.natura,generic,NATURA COSMÉTICOS S.A.
885,.navy,generic,"Dog Beach, LLC"
886,.nba,generic,"NBA REGISTRY, LLC"
887,.nc,country-code,Office des Postes et Telecommunications
888,.ne,country-code,SONITEL
889,.nec,generic,NEC Corporation
890,.net,generic,VeriSign Global Registry Services
891,.netbank,generic,COMMONWEALTH BANK OF AUSTRALIA
892,.netflix,generic,"Netflix, Inc."
893,.network,generic,"Binky Moon, LLC"
894,.neustar,generic,"NeuStar, Inc."
895,.new,generic,Charleston Road Registry Inc.
896,.newholland,generic,Not assigned
897,.news,generic,"Dog Beach, LLC"
898,.next,generic,Next plc
899,.nextdirect,generic,Next plc
900,.nexus,generic,Charleston Road Registry Inc.
901,.nf,country-code,Norfolk Island Data Services
902,.nfl,generic,NFL Reg Ops LLC
903,.ng,country-code,Nigeria Internet Registration Association
904,.ngo,generic,Public Interest Registry
905,.nhk,generic,Japan Broadcasting Corporation (NHK)
906,.ni,country-code,Universidad Nacional del Ingernieria Centro de Computo
907,.nico,generic,"DWANGO Co., Ltd."
908,.nike,generic,"NIKE, Inc."
909,.nikon,generic,NIKON CORPORATION
910,.ninja,generic,"Dog Beach, LLC"
911,.nissan,generic,"NISSAN MOTOR CO., LTD."
912,.nissay,generic,Nippon Life Insurance Company
913,.nl,country-code,SIDN (Stichting Internet Domeinregistratie Nederland)
914,.no,country-code,Norid A/S
915,.nokia,generic,Nokia Corporation
916,.northwesternmutual,generic,"Northwestern Mutual Registry, LLC"
917,.norton,generic,Symantec Corporation
918,.now,generic,"Amazon Registry Services, Inc."
919,.nowruz,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
920,.nowtv,generic,Starbucks (HK) Limited
921,.np,country-code,Mercantile Communications Pvt. Ltd.
922,.nr,country-code,CENPAC NET
923,.nra,generic,"NRA Holdings Company, INC."
924,.nrw,generic,Minds + Machines GmbH
925,.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
926,.nu,country-code,The IUSN Foundation
927,.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications
928,.nz,country-code,InternetNZ
929,.obi,generic,OBI Group Holding SE & Co. KGaA
930,.observer,generic,"Dog Beach, LLC"
931,.off,generic,Not assigned
932,.office,generic,Microsoft Corporation
933,.okinawa,generic,"BRregistry, Inc."
934,.olayan,generic,Crescent Holding GmbH
935,.olayangroup,generic,Crescent Holding GmbH
936,.oldnavy,generic,"The Gap, Inc."
937,.ollo,generic,Dish DBS Corporation
938,.om,country-code,Telecommunications Regulatory Authority (TRA)
939,.omega,generic,The Swatch Group Ltd
940,.one,generic,One.com A/S
941,.ong,generic,Public Interest Registry
942,.onl,generic,iRegistry GmbH
943,.online,generic,Radix FZC
944,.onyourside,generic,Not assigned
945,.ooo,generic,INFIBEAM INCORPORATION LIMITED
946,.open,generic,"American Express Travel Related Services Company, Inc."
947,.oracle,generic,Oracle Corporation
948,.orange,generic,Orange Brand Services Limited
949,.org,generic,Public Interest Registry (PIR)
950,.organic,generic,Afilias Limited
951,.orientexpress,generic,Not assigned
952,.origins,generic,The Estée Lauder Companies Inc.
953,.osaka,generic,"Osaka Registry Co., Ltd."
954,.otsuka,generic,"Otsuka Holdings Co., Ltd."
955,.ott,generic,Dish DBS Corporation
956,.ovh,generic,OVH SAS
957,.pa,country-code,Universidad Tecnologica de Panama
958,.page,generic,Charleston Road Registry Inc.
959,.pamperedchef,generic,Not assigned
960,.panasonic,generic,Panasonic Corporation
961,.panerai,generic,Not assigned
962,.paris,generic,City of Paris
963,.pars,generic,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
964,.partners,generic,"Binky Moon, LLC"
965,.parts,generic,"Binky Moon, LLC"
966,.party,generic,Blue Sky Registry Limited
967,.passagens,generic,Travel Reservations SRL
968,.pay,generic,"Amazon Registry Services, Inc."
969,.pccw,generic,PCCW Enterprises Limited
970,.pe,country-code,Red Cientifica Peruana
971,.pet,generic,Afilias Limited
972,.pf,country-code,Gouvernement de la Polynésie française
973,.pfizer,generic,Pfizer Inc.
974,.pg,country-code,PNG DNS Administration Vice Chancellors Office The Papua New Guinea University of Technology
975,.ph,country-code,PH Domain Foundation
976,.pharmacy,generic,National Association of Boards of Pharmacy
977,.phd,generic,Charleston Road Registry Inc.
978,.philips,generic,Koninklijke Philips N.V.
979,.phone,generic,Dish DBS Corporation
980,.photo,generic,"Registry Services, LLC"
981,.photography,generic,"Binky Moon, LLC"
982,.photos,generic,"Binky Moon, LLC"
983,.physio,generic,PhysBiz Pty Ltd
984,.piaget,generic,Not assigned
985,.pics,generic,XYZ.COM LLC
986,.pictet,generic,Pictet Europe S.A.
987,.pictures,generic,"Binky Moon, LLC"
988,.pid,generic,"Top Level Spectrum, Inc."
989,.pin,generic,"Amazon Registry Services, Inc."
990,.ping,generic,"Ping Registry Provider, Inc."
991,.pink,generic,Afilias Limited
992,.pioneer,generic,Pioneer Corporation
993,.pizza,generic,"Binky Moon, LLC"
994,.pk,country-code,PKNIC
995,.pl,country-code,Research and Academic Computer Network
996,.place,generic,"Binky Moon, LLC"
997,.play,generic,Charleston Road Registry Inc.
998,.playstation,generic,Sony Computer Entertainment Inc.
999,.plumbing,generic,"Binky Moon, LLC"
1000,.plus,generic,"Binky Moon, LLC"
1001,.pm,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1002,.pn,country-code,Pitcairn Island Administration
1003,.pnc,generic,"PNC Domain Co., LLC"
1004,.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG
1005,.poker,generic,Afilias Limited
1006,.politie,generic,Politie Nederland
1007,.porn,generic,ICM Registry PN LLC
1008,.post,sponsored,Universal Postal Union
1009,.pr,country-code,Gauss Research Laboratory Inc.
1010,.pramerica,generic,"Prudential Financial, Inc."
1011,.praxi,generic,Praxi S.p.A.
1012,.press,generic,Radix FZC
1013,.prime,generic,"Amazon Registry Services, Inc."
1014,.pro,generic-restricted,Afilias Limited
1015,.prod,generic,Charleston Road Registry Inc.
1016,.productions,generic,"Binky Moon, LLC"
1017,.prof,generic,Charleston Road Registry Inc.
1018,.progressive,generic,Progressive Casualty Insurance Company
1019,.promo,generic,Afilias Limited
1020,.properties,generic,"Binky Moon, LLC"
1021,.property,generic,Internet Naming Co.
1022,.protection,generic,XYZ.COM LLC
1023,.pru,generic,"Prudential Financial, Inc."
1024,.prudential,generic,"Prudential Financial, Inc."
1025,.ps,country-code,"Ministry Of Telecommunications & Information Technology, Government Computer Center."
1026,.pt,country-code,Associação DNS.PT
1027,.pub,generic,"Dog Beach, LLC"
1028,.pw,country-code,Micronesia Investment and Development Corporation
1029,.pwc,generic,PricewaterhouseCoopers LLP
1030,.py,country-code,NIC-PY
1031,.qa,country-code,Communications Regulatory Authority
1032,.qpon,generic,DOTQPON LLC.
1033,.quebec,generic,PointQuébec Inc
1034,.quest,generic,XYZ.COM LLC
1035,.qvc,generic,Not assigned
1036,.racing,generic,Premier Registry Limited
1037,.radio,generic,European Broadcasting Union (EBU)
1038,.raid,generic,Not assigned
1039,.re,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
1040,.read,generic,"Amazon Registry Services, Inc."
1041,.realestate,generic,dotRealEstate LLC
1042,.realtor,generic,Real Estate Domains LLC
1043,.realty,generic,"Dog Beach, LLC"
1044,.recipes,generic,"Binky Moon, LLC"
1045,.red,generic,Afilias Limited
1046,.redstone,generic,"Redstone Haute Couture Co., Ltd."
1047,.redumbrella,generic,"Travelers TLD, LLC"
1048,.rehab,generic,"Dog Beach, LLC"
1049,.reise,generic,"Binky Moon, LLC"
1050,.reisen,generic,"Binky Moon, LLC"
1051,.reit,generic,"National Association of Real Estate Investment Trusts, Inc."
1052,.reliance,generic,Reliance Industries Limited
1053,.ren,generic,ZDNS International Limited
1054,.rent,generic,XYZ.COM LLC
1055,.rentals,generic,"Binky Moon, LLC"
1056,.repair,generic,"Binky Moon, LLC"
1057,.report,generic,"Binky Moon, LLC"
1058,.republican,generic,"Dog Beach, LLC"
1059,.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
1060,.restaurant,generic,"Binky Moon, LLC"
1061,.review,generic,dot Review Limited
1062,.reviews,generic,"Dog Beach, LLC"
1063,.rexroth,generic,Robert Bosch GMBH
1064,.rich,generic,iRegistry GmbH
1065,.richardli,generic,Pacific Century Asset Management (HK) Limited
1066,.ricoh,generic,"Ricoh Company, Ltd."
1067,.rightathome,generic,Not assigned
1068,.ril,generic,Reliance Industries Limited
1069,.rio,generic,Empresa Municipal de Informática SA - IPLANRIO
1070,.rip,generic,"Dog Beach, LLC"
1071,.rmit,generic,Not assigned
1072,.ro,country-code,National Institute for R&D in Informatics
1073,.rocher,generic,Ferrero Trading Lux S.A.
1074,.rocks,generic,"Dog Beach, LLC"
1075,.rodeo,generic,"Registry Services, LLC"
1076,.rogers,generic,Rogers Communications Canada Inc.
1077,.room,generic,"Amazon Registry Services, Inc."
1078,.rs,country-code,Serbian National Internet Domain Registry (RNIDS)
1079,.rsvp,generic,Charleston Road Registry Inc.
1080,.ru,country-code,Coordination Center for TLD RU
1081,.rugby,generic,World Rugby Strategic Developments Limited
1082,.ruhr,generic,dotSaarland GmbH
1083,.run,generic,"Binky Moon, LLC"
